Year of Construction;Building Element;2020;2030;2035;2040;2050
< 1947;Window+Wall+Roof+Groundfloor;73.68;38.10;30.00;30.00;20.00
< 1947;Window+Groundfloor+Roof;10.53;0.00;0.00;0.00;0.00
< 1947;Roof+Groundfloor+Wall;0.00;19.05;20.00;20.00;20.00
< 1947;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
< 1947;Roof+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Roof+Groundfloor;0.00;19.05;14.00;30.00;40.00
< 1947;Roof;15.79;4.76;0.00;0.00;0.00
< 1947;Wall;0.00;0.00;0.00;0.00;0.00
< 1947;Window;0.00;0.00;0.00;0.00;0.00
< 1947;Groundfloor;0.00;19.05;36.00;20.00;20.00
1947-1974;Window+Wall+Roof+Groundfloor;76.19;22.22;16.13;14.29;7.14
1947-1974;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof+Groundfloor+Wall;0.00;37.04;35.48;42.86;42.86
1947-1974;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Groundfloor;0.00;0.00;12.90;0.00;7.14
1947-1974;Roof+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof;23.81;3.70;0.00;0.00;0.00
1947-1974;Wall;0.00;0.00;0.00;0.00;0.00
1947-1974;Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Groundfloor;0.00;37.04;35.48;42.86;42.86
1975-1984;Window+Wall+Roof+Groundfloor;20.83;25.00;38.46;38.46;46.15
1975-1984;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;30.77
1975-1984;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Window+Roof;12.50;15.00;7.69;7.69;0.00
1975-1984;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Window;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Window;8.33;5.00;3.08;15.38;0.00
1975-1984;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof;0.00;0.00;0.00;0.00;23.08
1975-1984;Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Window;58.33;55.00;50.77;38.46;0.00
1975-1984;Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Window+Wall+Roof+Groundfloor;14.29;15.00;21.43;21.43;42.86
1985-2000;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Window;26.19;32.50;24.29;35.71;35.71
1985-2000;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Window;59.52;52.50;54.29;42.86;21.43
1985-2000;Groundfloor;0.00;0.00;0.00;0.00;0.00
