Year of Construction;Building Element;2020;2030;2035;2040;2050
< 1947;Window+Wall+Roof+Groundfloor;73.68;27.27;18.18;18.18;8.33
< 1947;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Roof+Groundfloor+Wall;0.00;27.27;27.27;27.27;33.33
< 1947;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
< 1947;Roof+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Roof+Groundfloor;10.53;18.18;9.09;22.73;20.83
< 1947;Roof;15.79;0.00;0.00;0.00;0.00
< 1947;Wall;0.00;0.00;0.00;0.00;0.00
< 1947;Window;0.00;0.00;0.00;0.00;0.00
< 1947;Groundfloor;0.00;27.27;45.45;31.82;37.50
1947-1974;Window+Wall+Roof+Groundfloor;53.33;70.00;52.17;50.00;36.36
1947-1974;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof+Groundfloor+Wall;0.00;0.00;0.00;10.00;18.18
1947-1974;Wall+Window+Roof;3.33;0.00;0.00;0.00;0.00
1947-1974;Wall+Window+Groundfloor;0.00;10.00;2.17;0.00;0.00
1947-1974;Wall+Window;10.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Groundfloor;0.00;0.00;32.61;20.00;18.18
1947-1974;Roof+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall;0.00;10.00;10.87;10.00;9.09
1947-1974;Window;33.33;10.00;2.17;0.00;0.00
1947-1974;Groundfloor;0.00;0.00;0.00;10.00;18.18
1975-1984;Window+Wall+Roof+Groundfloor;16.00;19.05;28.57;28.57;46.15
1975-1984;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;15.38
1975-1984;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Window+Roof;20.00;23.81;17.14;21.43;0.00
1975-1984;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Window;0.00;0.00;4.29;0.00;0.00
1975-1984;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Window;8.00;4.76;0.00;7.14;15.38
1975-1984;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof;0.00;0.00;0.00;0.00;23.08
1975-1984;Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Window;56.00;52.38;50.00;42.86;0.00
1975-1984;Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Window+Wall+Roof+Groundfloor;11.11;10.00;11.76;11.76;25.00
1985-2000;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window+Roof;5.56;5.00;5.88;5.88;12.50
1985-2000;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Window;30.56;35.00;20.00;29.41;25.00
1985-2000;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Window;52.78;50.00;62.35;52.94;37.50
1985-2000;Groundfloor;0.00;0.00;0.00;0.00;0.00
