Year of Construction;AgeRangePartialRetrofit;2020;2030;2035;2040;2050
<= 1918;< 1947;9;24;12;11.5;21
1919-1945;< 1947;9;24;12;11.5;21
1946-1960;1947-1974;10.5;23.5;10.5;10;20
1961-1970;1947-1974;10;24.5;12.5;11;20
1971-1980;1975-1984;8.5;22.5;12.5;12.5;21.5
1981-1985;1975-1984;7.5;19.5;12;13;25
1986-1990;1985-2000;6;17;11;12.5;26.5
1991-1995;1985-2000;4;15;10;11;26.5
1996-2000;1985-2000;4;15;10;11;26.5
2001-2005;1985-2000;2;8;6.5;8;20.5
2006-2010;1985-2000;0.5;5.5;4.5;6.5;17.5
2011-2015;1985-2000;0;2.5;3.5;4.5;14.5
2016-2020;1985-2000;0;0.5;2;3.5;11
2021-2025;1985-2000;0;0;0.5;1;3.5
2026-2030;1985-2000;0;0;0;0.5;2.5
2031-2035;1985-2000;0;0;0;0;1.5
2036-2040;1985-2000;0;0;0;0;0
2041-2045;1985-2000;0;0;0;0;0
2046-2050;1985-2000;0;0;0;0;0
