Year of Construction;AgeRangePartialRetrofit;2020;2030;2035;2040;2050
<=1918;<1947;11;26;12.5;11.5;22
1919-1945;<1947;11;26;12.5;11.5;22
1946-1960;1947-1974;13;26;11.5;11;21.5
1961-1970;1947-1974;12.5;27;13;12;21.5
1971-1980;1975-1984;10.5;26;13.5;13;23.5
1981-1985;1975-1984;10.5;25.5;13.5;13.5;26
1986-1990;1985-2000;8.5;25.5;13.5;14;25.5
1991-1995;1985-2000;6;23;13.5;14;26.5
1996-2000;1985-2000;3;16.5;12;13.5;28
2001-2005;1985-2000;2.5;12;10;12;28
2006-2010;1985-2000;1;7;7.5;10;26
2011-2015;1985-2000;0.5;3.5;4.5;7.5;22
2016-2020;1985-2000;0;1.5;2.5;4.5;17
2021-2025;1985-2000;0;0;0.5;1.5;6
2026-2030;1985-2000;0;0;0;0.5;3.5
2031-2035;1985-2000;0;0;0;0;1.5
2036-2040;1985-2000;0;0;0;0;0.5
2041-2045;1985-2000;0;0;0;0;0
2046-2050;1985-2000;0;0;0;0;0
