Year of Construction;Building Element;2020;2030;2035;2040;2050
< 1947;Window+Wall+Roof+Groundfloor;66.67;66.67;50.60;56.25;66.67
< 1947;Window+Groundfloor+Roof;6.67;33.33;0.00;9.38;16.67
< 1947;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Window+Groundfloor;0.00;0.00;3.61;0.00;0.00
< 1947;Wall+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
< 1947;Roof+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Groundfloor+Window;0.00;0.00;18.07;9.38;0.00
< 1947;Roof+Groundfloor;3.33;0.00;0.00;0.00;4.17
< 1947;Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall;0.00;0.00;0.00;0.00;0.00
< 1947;Window;0.00;0.00;27.71;25.00;0.00
< 1947;Groundfloor;23.33;0.00;0.00;0.00;12.50
1947-1974;Window+Wall+Roof+Groundfloor;55.00;84.62;61.76;80.00;48.28
1947-1974;Window+Groundfloor+Roof;15.00;7.69;0.00;0.00;0.00
1947-1974;Roof+Groundfloor+Wall;0.00;0.00;0.00;4.00;17.24
1947-1974;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Window+Groundfloor;0.00;0.00;11.76;0.00;0.00
1947-1974;Wall+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Groundfloor;0.00;0.00;7.35;4.00;10.34
1947-1974;Roof+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Groundfloor+Window;5.00;0.00;0.00;0.00;0.00
1947-1974;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall;0.00;0.00;0.00;0.00;0.00
1947-1974;Window;25.00;7.69;11.76;0.00;0.00
1947-1974;Groundfloor;0.00;0.00;7.35;12.00;24.14
1975-1984;Window+Wall+Roof+Groundfloor;41.67;43.48;43.56;45.00;60.00
1975-1984;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;20.00
1975-1984;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Window+Roof;12.50;8.70;0.00;10.00;0.00
1975-1984;Wall+Window+Groundfloor;0.00;0.00;0.99;0.00;0.00
1975-1984;Wall+Window;0.00;4.35;9.90;0.00;0.00
1975-1984;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Window;0.00;0.00;0.00;0.00;0.00
1975-1984;Groundfloor+Window;0.00;0.00;0.00;0.00;10.00
1975-1984;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Window;45.83;43.48;45.54;45.00;10.00
1975-1984;Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Window+Wall+Roof+Groundfloor;14.29;30.00;30.00;30.00;35.29
1985-2000;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Window;26.19;25.00;8.00;17.50;8.82
1985-2000;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Window;59.52;45.00;62.00;52.50;55.88
1985-2000;Groundfloor;0.00;0.00;0.00;0.00;0.00
