Year of Construction;Building Element;2020;2030;2035;2040;2050
< 1947;Window+Wall+Roof+Groundfloor;73.33;76.92;57.14;83.33;53.85
< 1947;Window+Groundfloor+Roof;6.67;11.54;0.00;0.00;0.00
< 1947;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;7.69
< 1947;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Window+Groundfloor;0.00;0.00;14.29;0.00;0.00
< 1947;Wall+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
< 1947;Roof+Window;0.00;0.00;0.00;0.00;0.00
< 1947;Groundfloor+Window;20.00;3.85;0.00;0.00;0.00
< 1947;Roof+Groundfloor;0.00;0.00;0.00;0.00;15.38
< 1947;Roof;0.00;0.00;0.00;0.00;0.00
< 1947;Wall;0.00;0.00;0.00;0.00;0.00
< 1947;Window;0.00;7.69;14.29;0.00;0.00
< 1947;Groundfloor;0.00;0.00;14.29;16.67;23.08
1947-1974;Window+Wall+Roof+Groundfloor;45.45;52.94;47.06;66.67;33.33
1947-1974;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;20.00
1947-1974;Wall+Window+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Window+Groundfloor;9.09;17.65;11.76;0.00;0.00
1947-1974;Wall+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall+Groundfloor;0.00;0.00;14.71;16.67;6.67
1947-1974;Roof+Window;0.00;0.00;0.00;0.00;0.00
1947-1974;Groundfloor+Window;13.64;0.00;0.00;0.00;0.00
1947-1974;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1947-1974;Roof;0.00;0.00;0.00;0.00;0.00
1947-1974;Wall;0.00;0.00;0.00;0.00;0.00
1947-1974;Window;31.82;29.41;11.76;0.00;0.00
1947-1974;Groundfloor;0.00;0.00;14.71;16.67;40.00
1975-1984;Window+Wall+Roof+Groundfloor;32.00;26.09;29.41;29.41;58.82
1975-1984;Window+Groundfloor+Roof;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Window+Roof;24.00;34.78;24.71;35.29;0.00
1975-1984;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Window;0.00;0.00;10.59;0.00;0.00
1975-1984;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1975-1984;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Window;4.00;6.52;0.00;2.94;23.53
1975-1984;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1975-1984;Roof;0.00;0.00;0.00;0.00;17.65
1975-1984;Wall;0.00;0.00;0.00;0.00;0.00
1975-1984;Window;40.00;32.61;35.29;32.35;0.00
1975-1984;Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Window+Wall+Roof+Groundfloor;11.11;15.00;15.38;15.38;22.22
1985-2000;Window+Groundfloor+Roof;0.00;5.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor+Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window+Roof;5.56;0.00;3.85;3.85;5.56
1985-2000;Wall+Window+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Window;30.56;37.50;17.69;26.92;30.56
1985-2000;Groundfloor+Window;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof+Groundfloor;0.00;0.00;0.00;0.00;0.00
1985-2000;Roof;0.00;0.00;0.00;0.00;0.00
1985-2000;Wall;0.00;0.00;0.00;0.00;0.00
1985-2000;Window;52.78;42.50;63.08;53.85;41.67
1985-2000;Groundfloor;0.00;0.00;0.00;0.00;0.00
